n,clase,numero_base,rID,url_caso,n_imagenes,archivos,autor_cita,fecha_acceso,licencia_declarada,licencia_verificada,version_confirmada,revisado_por,notas
19,chiari,19,50409,https://radiopaedia.org/cases/chiari-15-malformation-1?lang=us,1,chiari_19a.jpg,Duarte R,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
20,chiari,20,68345,https://radiopaedia.org/cases/chiari-15-malformation-2?lang=us,2,chiari_20a.jpg; chiari_20b.jpeg,Bawazeer A,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
21,chiari,21,70264,https://radiopaedia.org/cases/chiari-15-malformation-4?lang=us,2,chiari_21a.jpeg; chiari_21b.jpeg,Neto A,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
22,chiari,22,87101,https://radiopaedia.org/cases/chiari-15-malformation-5?lang=us,1,chiari_22a.jpeg,Ibrahim D,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
23,chiari,23,154611,https://radiopaedia.org/cases/chiari-15-malformation-6?lang=us,3,chiari_23a.jpeg; chiari_23b.jpeg; chiari_23c.jpeg,Ranchod A,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
24,chiari,24,174013,https://radiopaedia.org/cases/chiari-15-malformation-7?lang=us,2,chiari_24a.jpeg; chiari_24b.jpeg,Haouimi A,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
25,chiari,25,180362,https://radiopaedia.org/cases/chiari-15-malformation-8?lang=us,4,chiari_25a.jpg; chiari_25b.jpg; chiari_25b.jpg; chiari_25c.jpg,Haouimi A,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
26,chiari,26,184186,https://radiopaedia.org/cases/chiari-15-malformation-9?lang=us,2,chiari_26a.jpg; chiari_26b.jpg,Haouimi A,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
27,chiari,27,94769,https://radiopaedia.org/cases/chiari-15-malformation-10?lang=us,3,chiari_27a.jpg; chiari_27b.jpg; chiari_27c.jpg,Elfeky M,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
28,chiari,28,199635,https://radiopaedia.org/cases/chiari-15-malformation-11?lang=us,1,chiari_28a.png,Ibrahim D,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
29,chiari,29,202843,https://radiopaedia.org/cases/chiari-15-malformation-12?lang=us,1,chiari_29a.jpeg,Benmansour M,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
30,chiari,30,225772,https://radiopaedia.org/cases/chiari-i-malformation-with-syrinx-15?lang=us,3,chiari_30a.jpeg; chiari_30b.jpeg; chiari_30c.jpg,Rasuli B,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
31,chiari,31,151115,https://radiopaedia.org/cases/chiari-i-malformation-15?lang=us,2,chiari_31a.jpeg; chiari_31b.jpeg,Elthokapy M,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
32,chiari,32,157827,https://radiopaedia.org/cases/chiari-i-malformation-16?lang=us,2,chiari_32a.jpg; chiari_32b.jpg,Gharbia H,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
33,chiari,33,185374,https://radiopaedia.org/cases/chiari-i-malformation-17?lang=us,2,chiari_33a.jpeg; chiari_33b.jpeg,Hamidi H,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
34,chiari,34,218107,https://radiopaedia.org/cases/chiari-i-malformation-18?lang=us,2,chiari_34a.jpg; chiari_34b.jpg,Al Kabbani A,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
35,chiari,35,84171,https://radiopaedia.org/cases/chiari-malformation-1?lang=us,2,chiari_35a.jpg; chiari_35b.jpg,Haghighi S,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
36,chiari,36,72352,https://radiopaedia.org/cases/chiari-i-malformation-with-hydrosyringomyelia?lang=us,1,chiari_36a.jpeg,Jaray A,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
37,chiari,37,229718,https://radiopaedia.org/cases/chiari-1-malformation-15?lang=us,4,chiari_37a.jpg; chiari_37b.jpg; chiari_37c.jpg; chiari_37d.jpeg,Ayoub A,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
38,chiari,38,16995,https://radiopaedia.org/cases/chiari-i-malformation-with-syringomyelia?lang=us,1,chiari_38a.png,Jha P,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
39,chiari,39,154142,https://radiopaedia.org/cases/chiari-1-malformation-7?lang=us,2,chiari_39a.jpg; chiari_39b.jpg,Haouimi A,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
40,chiari,40,153463,https://radiopaedia.org/cases/chiari-1-malformation-6?lang=us,1,chiari_40a.jpg,Haouimi A,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
41,chiari,41,99353,https://radiopaedia.org/cases/chiari-1-malformation-5?lang=us,1,chiari_41a.jpg,Haouimi A,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
42,chiari,42,94082,https://radiopaedia.org/cases/chiari-1-malformation-4?lang=us,2,chiari_42a.jpg; chiari_42b.jpg,Haouimi A,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
43,chiari,43,89442,https://radiopaedia.org/cases/chiari-1-malformation-3?lang=us,2,chiari_43a.jpeg; chiari_43b.jpeg,Kabra U,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
44,chiari,44,173129,https://radiopaedia.org/cases/chiari-1-malformation-8?lang=us,1,chiari_44a.jpg,Haouimi A,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
45,chiari,45,176123,https://radiopaedia.org/cases/chiari-1-malformation-10?lang=us,1,chiari_45a.jpeg,Goel V,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
46,chiari,46,178758,https://radiopaedia.org/cases/chiari-1-malformation-11?lang=us,1,chiari_46a.jpg,Haouimi A,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
47,chiari,47,191155,https://radiopaedia.org/cases/postoperative-spinal-csf-leak-in-chiari-1-malformation?lang=us,2,chiari_47a.jpeg; chiari_47b.jpeg,Abu Kamesh M,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
48,chiari,48,4364,https://radiopaedia.org/cases/neurosarcoidosis-and-chiari-i-malformation?lang=us,2,chiari_48a.jpeg; chiari_48b.jpeg,Gaillard F,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
49,chiari,49,12712,https://radiopaedia.org/cases/chiari-i-malformation?lang=us,1,chiari_49a.jpg,Choudhary G,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
50,chiari,50,22950,https://radiopaedia.org/cases/chiari-1-malformation-with-syrinx?lang=us,1,chiari_50a.jpg,Mitchell P,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
51,chiari,51,183264,https://radiopaedia.org/cases/chiari-1-malformation-with-decompression?lang=us,2,chiari_51a.png; chiari_51b.png,Gaillard F,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
52,chiari,52,88459,https://radiopaedia.org/cases/chiari-1-malformation-with-syrinx-2?lang=us,2,chiari_52a.jpg; chiari_52b.jpeg,Ayodele A,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
53,chiari,53,44621,https://radiopaedia.org/cases/suprasellar-lipoma-and-chiari-i-malformation?lang=us,3,chiari_53a.png; chiari_53b.png; chiari_53b.png,Knipe H,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
54,chiari,54,16374,https://radiopaedia.org/cases/aqueduct-stenosis-and-chiari-i-malformation?lang=us,1,chiari_54a.jpg,O'Donnell C,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
55,chiari,55,48586,https://radiopaedia.org/cases/chiari-1-malformation-and-osteopetrosis?lang=us,1,chiari_55a.jpeg,Farouk A,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
56,chiari,56,204388,https://radiopaedia.org/cases/thalassaemia-and-chiari-1?lang=us,2,chiari_56a.jpg; chiari_56b.jpg,Ranchod A,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
57,chiari,57,41185,https://radiopaedia.org/cases/obstructive-hydrocephalus-and-chiari-1-malformation?lang=us,1,chiari_57a.png,Ramesh R,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
58,chiari,58,15819,https://radiopaedia.org/cases/chiari-1-malformation-with-focal-syrinx?lang=us,3,chiari_58a.jpg; chiari_58a.jpg; chiari_58b.jpg,Gaillard F,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
59,chiari,59,64259,https://radiopaedia.org/cases/chiari-15-malformation?lang=us,3,chiari_59a.png; chiari_59a.png; chiari_59b.jpeg,Gaillard F,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
60,chiari,60,18005,https://radiopaedia.org/cases/chiari-i-malformation-with-syrinx-9?lang=us,1,chiari_60a.jpg,Terrazas M,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
61,chiari,61,42945,https://radiopaedia.org/cases/chiari-1-pre-and-post-decompression-surgery?lang=us,1,chiari_61a.png,Di Muzio B,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
62,chiari,62,70059,https://radiopaedia.org/cases/pituitary-stalk-interruption-syndrome-and-chiari-i-malformation?lang=us,2,chiari_62a.jpeg; chiari_62b.jpeg,Haouimi A,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
63,chiari,63,220610,https://radiopaedia.org/cases/persistent-trigeminal-artery-and-chiari-type-i-malformation?lang=us,2,chiari_63a.jpg; chiari_63b.jpeg,Khoi V,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
64,chiari,64,34146,https://radiopaedia.org/cases/hydromyelia-due-to-chiari-i-malformation?lang=us,1,chiari_64a.jpg,O'Donnell C,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
65,chiari,65,181929,https://radiopaedia.org/cases/chiari-15-malformation-with-syrinx?lang=us,2,chiari_65a.jpg; chiari_65b.jpg,Haouimi A,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
66,chiari,66,175947,https://radiopaedia.org/cases/chiari-1-malformation-with-syrinx-4?lang=us,2,chiari_66a.jpg; chiari_66b.jpg,Haouimi A,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
67,chiari,67,160048,https://radiopaedia.org/cases/chiari-1-malformation-with-syrinx-3?lang=us,2,chiari_67a.jpg; chiari_67b.jpeg,Haouimi A,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
68,chiari,68,5686,https://radiopaedia.org/cases/chiari-i-malformation-with-syrinx?lang=us,2,chiari_68a.jpeg; chiari_68b.jpeg,Gaillard F,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
69,chiari,69,34375,https://radiopaedia.org/cases/chiari-1-malformation-with-basilar-invagination?lang=us,2,chiari_69a.jpg; chiari_69b.jpg,Abdrabou A,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
70,chiari,70,89444,https://radiopaedia.org/cases/chiari-i-with-syrinx-and-skull-base-anomalies?lang=us,3,chiari_70a.jpg; chiari_70a.jpg; chiari_70b.jpg,Haouimi A,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
71,chiari,71,180465,https://radiopaedia.org/cases/chiari-1-malformation-with-obstructive-hydrocephalus?lang=us,1,chiari_71a.jpg,Haouimi A,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
72,chiari,72,13619,https://radiopaedia.org/cases/chiari-i-malformation-and-sinus-pericranii?lang=us,1,chiari_72a.png,Al Salam H,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
73,chiari,73,16113,https://radiopaedia.org/cases/chiari-type-i-malformation?lang=us,1,chiari_73a.png,Ruales F,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
74,chiari,74,10358,https://radiopaedia.org/cases/chiari-1-malformation-syrinx-and-scoliosis?lang=us,1,chiari_74a.jpg,Gaillard F,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
75,chiari,75,4977,https://radiopaedia.org/cases/chiari-1-malformation-with-syrinx-1?lang=us,1,chiari_75a.jpeg,Gaillard F,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
76,chiari,76,24077,https://radiopaedia.org/cases/chiari-i-malformation-and-extensive-cervico-thoracic-syringohydromyelia?lang=us,2,chiari_76a.jpg; chiari_76b.jpg,ElBeialy M,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
77,normal,1,39310,https://radiopaedia.org/cases/normal-mri-brain-1?lang=us,1,normal_1a.png,Di Muzio B,04 Sep 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
78,normal,2,39311,https://radiopaedia.org/cases/normal-mri-brain-2?lang=us,1,normal_2a.png,Di Muzio B,04 Sep 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
79,normal,3,153576,https://radiopaedia.org/cases/normal-mri-brain-3?lang=us,1,normal_3a.jpg,Abidin M,04 Sep 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
80,normal,4,41113,https://radiopaedia.org/cases/normal-brain-mri-4?lang=us,1,normal_4a.png,Di Muzio B,04 Sep 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
81,normal,5,42777,https://radiopaedia.org/cases/normal-brain-mri-5?lang=us,1,normal_5a.png,Gaillard F,04 Sep 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
82,normal,6,37605,https://radiopaedia.org/cases/normal-brain-mri-6?lang=us,1,normal_6a.png,Gaillard F,04 Sep 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
83,normal,7,57738,https://radiopaedia.org/cases/normal-mri-brain-venogram?lang=us,1,normal_7a.png,Di Muzio B,04 Sep 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
84,normal,8,52637,https://radiopaedia.org/cases/normal-mri-brain-adult?lang=us,1,normal_8a.jpg,Bickle I,04 Sep 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
85,normal,9,40748,https://radiopaedia.org/cases/normal-brain-mri-tle-protocol?lang=us,2,normal_9a.png; normal_9b.png,Gaillard F,04 Sep 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
86,normal,10,212946,https://radiopaedia.org/cases/normal-mri-brain-5-month-old?lang=us,1,normal_10a.png,Ibrahim D,04 Sep 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
87,normal,11,212957,https://radiopaedia.org/cases/normal-mri-brain-12-month-old?lang=us,1,normal_11a.png,Ibrahim D,04 Sep 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
88,normal,12,212956,https://radiopaedia.org/cases/normal-mri-brain-myelination-9-month-old-2?lang=us,1,normal_12a.png,Ibrahim D,04 Sep 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
89,normal,13,53917,https://radiopaedia.org/cases/normal-brain-mri-non-focal-epilepsy-protocol-3?lang=us,2,normal_13a.png; normal_13b.png,Di Muzio B,04 Sep 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
90,normal,14,51158,https://radiopaedia.org/cases/normal-mri-brain-including-mr-venogram?lang=us,1,normal_14a.png,Gaillard F,04 Sep 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
91,normal,15,43048,https://radiopaedia.org/cases/normal-brain-mri-2-year-old?lang=us,1,normal_15a.jpeg,Di Muzio B,04 Sep 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
92,normal,16,212958,https://radiopaedia.org/cases/normal-mri-brain-2-year-old?lang=us,1,normal_16a.png,Ibrahim D,04 Sep 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
93,normal,17,38571,https://radiopaedia.org/cases/normal-brain-mri-non-focal-epilepsy-protocol-1?lang=us,2,normal_17a.jpg; normal_17b.jpg,Gaillard F,04 Sep 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
94,normal,18,173066,https://radiopaedia.org/cases/normal-brain-mri-with-post-contrast-flair?lang=us,2,normal_18a.png; normal_18b.png,Gaillard F,04 Sep 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
95,normal,19,9878,https://radiopaedia.org/cases/normal-midline-brain-mri-1?lang=us,1,normal_19a.jpeg,Gaillard F,04 Sep 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
96,normal,20,89654,https://radiopaedia.org/cases/normal-mri-brain-myelination-15-month-old-2?lang=us,1,normal_20a.jpg,Ibrahim D,04 Sep 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
97,normal,21,165014,https://radiopaedia.org/cases/normal-mri-of-the-brain-adult?lang=us,2,normal_21a.jpeg; normal_21b.jpeg,Thibodeau R,04 Sep 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
98,normal,22,2756,https://radiopaedia.org/cases/normal-midline-brain-mri-2?lang=us,1,normal_22a.jpeg,Gaillard F,04 Sep 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
99,normal,23,89563,https://radiopaedia.org/cases/normal-brain-myelination-mri-3-month-old-1?lang=us,1,normal_23a.png,Ibrahim D,04 Sep 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
100,normal,24,229305,https://radiopaedia.org/cases/normal-mri-of-the-brain-9-year-old?lang=us,1,normal_24a.jpg,Thibodeau R,04 Sep 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
101,normal,25,39578,https://radiopaedia.org/cases/normal-paediatric-mri-and-mra-brain?lang=us,1,normal_25a.jpg,ElBeialy M,04 Sep 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
102,normal,26,43937,https://radiopaedia.org/cases/frontal-meningioma-and-schizophrenia?lang=us,1,normal_26a.jpeg,Case courtesy of Gabrielle Matta,,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
103,normal,27,172037,https://radiopaedia.org/cases/meningioma-frontal-10?lang=us,1,normal_27a.jpeg,Case courtesy of Ammar Haouimi,,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
104,normal,28,90825,https://radiopaedia.org/cases/meningioma-frontal-3?lang=us,1,normal_28a.jpeg,Case courtesy of Ammar Haouimi,,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
105,normal,29,88354,https://radiopaedia.org/cases/meningioma-frontal-1?lang=us,1,normal_29a.jpeg,Case courtesy of Ammar Haouimi,,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
106,normal,30,90068,https://radiopaedia.org/cases/meningioma-frontal-2?lang=us,1,normal_30a.jpeg,Case courtesy of Ammar Haouimi,,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
107,normal,31,187032,https://radiopaedia.org/cases/meningioma-frontal-13?lang=us,1,normal_31a.jpeg,Case courtesy of Ammar Haouimi,,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
108,normal,32,150485,https://radiopaedia.org/cases/meningioma-frontal-7?lang=us,1,normal_32a.jpeg,Case courtesy of Ammar Haouimi,,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
109,normal,33,152275,https://radiopaedia.org/cases/calcified-meningioma-frontal?lang=us,1,normal_33a.jpeg,Case courtesy of Ammar Haouimi,,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
110,normal,34,164656,https://radiopaedia.org/cases/meningioma-frontal-9?lang=us,1,normal_34a.jpeg,Case courtesy of Ammar Haouimi,,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
111,normal,35,83883,https://radiopaedia.org/cases/frontal-meningioma-with-secondary-intracranial-hypertension?lang=us,1,normal_35a.jpeg,Case courtesy of Ammar Haouimi,,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
112,normal,37,224514,https://radiopaedia.org/cases/miliary-brain-metastases-from-primary-breast-cancer?lang=us,1,normal_37a.jpeg,Case courtesy of Dalia Ibrahim,,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
113,normal,39,198106,https://radiopaedia.org/cases/left-parietal-lobe-infarct-gerstmann-syndrome-1?lang=us,1,normal_39a.jpeg,Case courtesy of Ashesh Ishwarlal Ranchod,,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
114,normal,41,58352,https://radiopaedia.org/cases/intraventricular-neurocysticercosis-1?lang=us,1,normal_41a.jpeg,Case courtesy of Stuti Vijay Nandu,,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
115,normal,42,205271,https://radiopaedia.org/cases/septo-optic-dysplasia-31?lang=us,1,normal_42a.jpeg,Case courtesy of Aya Sedky,,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
116,normal,43,159857,https://radiopaedia.org/cases/migraine-4?lang=us,1,normal_43a.jpeg,Case courtesy of Ashesh Ishwarlal Ranchod,,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
117,normal,44,92485,https://radiopaedia.org/cases/acute-superior-sagittal-sinus-thrombosis?lang=us,1,normal_44a.jpeg,Case courtesy of Mohamed Saber,,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
